,state,keyword,query,value
0,AK,how,how many cases of coronavirus in alaska,250.0
1,AK,what,what is antifa,15050.0
2,AK,when,when is fathers day,120.0
3,AK,why,13 reasons why,250.0
4,AK,will,will smith,100.0
5,AL,can,catch me if you can,12700.0
6,AL,how,how much is the ps5,5000.0
7,AL,what,what is chaz,5150.0
8,AL,when,when is fathers day usa 2020,13150.0
9,AL,where,where was just mercy filmed,16450.0
10,AL,which,which wich,100.0
11,AL,who,who is candace owens,11700.0
12,AL,why,13 reasons why cast,600.0
13,AL,will,good will hunting,110.0
14,AR,can,can dogs eat watermelon,4700.0
15,AR,how,how many quarts are in a gallon,2650.0
16,AR,what,what is blackout tuesday,7050.0
17,AR,when,when is fathers day usa 2020,24800.0
18,AR,where,where am i,100.0
19,AR,who,who killed bryce walker,11850.0
20,AR,why,13 reasons why,850.0
21,AR,will,will smith,100.0
22,AZ,can,where can i get tested for the coronavirus,6700.0
23,AZ,how,you enter a bedroom. there are 34 people. you kill 30. how many are in the bedroom?,1750.0
24,AZ,what,what does antebellum mean,6650.0
25,AZ,when,when does arizona curfew end,24550.0
26,AZ,where,the room where it happened,31950.0
27,AZ,which,which state has the most coronavirus cases,200.0
28,AZ,who,who killed bryce walker,6800.0
29,AZ,why,why is it called juneteenth,7000.0
30,AZ,will,will arizona shut down again,170.0
31,CA,can,8 can wait,5850.0
32,CA,how,how lobsters communicate,1250.0
33,CA,what,what is blackout tuesday,7400.0
34,CA,when,when is ios 14 coming out,6050.0
35,CA,where,where is your soulmate filter,6600.0
36,CA,which,which private expression of love,7600.0
37,CA,who,who died in 13 reasons why,6100.0
38,CA,why,who died in 13 reasons why,7700.0
39,CA,will,rachel mcadams,11600.0
40,CO,can,8 can wait,5850.0
41,CO,how,how to be an antiracist,4350.0
42,CO,what,what is blackout tuesday,7700.0
43,CO,when,when is fathers day usa 2020,19250.0
44,CO,where,the room where it happened,15300.0
45,CO,which,which wich,100.0
46,CO,who,who is anonymous,15850.0
47,CO,why,why was dr disrespect banned,7050.0
48,CO,will,will cain,12450.0
49,CT,can,how much house can i afford,110.0
50,CT,how,how to deactivate facebook,3150.0
51,CT,what,what is daca,4550.0
52,CT,when,when is ios 14 coming out,13900.0
53,CT,where,where am i,100.0
54,CT,who,who is candace owens,12200.0
55,CT,why,13 reasons why season 4,600.0
56,CT,will,will cain,11200.0
57,DE,how,how many ounces in a gallon,100.0
58,DE,what,what is juneteenth,28400.0
59,DE,when,when is fathers day,110.0
60,DE,why,13 reasons why cast,13100.0
61,DE,will,george will,140.0
62,FL,can,can you get covid-19 twice,3100.0
63,FL,how,how do lobsters communicate,1250.0
64,FL,what,what is blackout tuesday,6400.0
65,FL,when,when is juneteenth,8100.0
66,FL,where,the room where it happened,20750.0
67,FL,which,quizlet,100.0
68,FL,who,who killed bryce,13700.0
